Legislator1, Legislator2, SimilarVotes
A000022,A000022, 531458
A000362,A000362, 609142
A000210,A000210, 555980
B001234,B001234, 549923
B001230,B001230, 541053
B001252,B001252, 604508
B000287,B000287, 537463
B001231,B001231, 553173
B000410,B000410, 524960
B000490,B000490, 557722
B001242,B001242, 533808
B000574,B000574, 508883
B000652,B000652, 543361
B001227,B001227, 520983
B000911,B000911, 502806
B001251,B001251, 492820
C001036,C001036, 505950
C001037,C001037, 485806
C001050,C001050, 428516
C001060,C001060, 496742
C001083,C001083, 329332
C001072,C001072, 492634
C001066,C001066, 484074
C001058,C001058, 504249
C001080,C001080, 475728
C001084,C001084, 307997
C001085,C001085, 298676
C001067,C001067, 460978
C001049,C001049, 459351
C001061,C001061, 459900
C000537,C000537, 476413
C001068,C001068, 454717
C001078,C001078, 486388
C000714,C000714, 425085
C000754,C000754, 482870
C001059,C001059, 475776
C001069,C001069, 471821
C001081,C001081, 402624
C001038,C001038, 448957
C001063,C001063, 486117
C000984,C000984, 443269
D000598,D000598, 457630
D000096,D000096, 411145
D000191,D000191, 423724
D000197,D000197, 431405
D000216,D000216, 442300
D000610,D000610, 370311
D000327,D000327, 420051
D000355,D000355, 424332
D000399,D000399, 425877
D000607,D000607, 442075
D000482,D000482, 416031
E000290,E000290, 408495
E000288,E000288, 381651
E000179,E000179, 390893
E000215,E000215, 398682
F000030,F000030, 396997
F000043,F000043, 399568
F000116,F000116, 302875
F000339,F000339, 367777
F000455,F000455, 381137
G000559,G000559, 369691
G000553,G000553, 381892
G000551,G000551, 327421
G000535,G000535, 301800
H001063,H001063, 139842
H001050,H001050, 231048
H000324,H000324, 340074
H001046,H001046, 346967
H001038,H001038, 343963
H001047,H001047, 347788
H000627,H000627, 289212
H000636,H000636, 313000
H001042,H001042, 309358
H001062,H001062, 170079
H000712,H000712, 325833
H001032,H001032, 329279
H001034,H001034, 309190
H000874,H000874, 328074
I000026,I000026, 251682
I000057,I000057, 325259
J000283,J000283, 266967
J000032,J000032, 292787
J000288,J000288, 302211
J000126,J000126, 293275
K000009,K000009, 299628
K000375,K000375, 186300
K000188,K000188, 301540
K000369,K000369, 306217
K000336,K000336, 262893
L000559,L000559, 285950
L000560,L000560, 288983
L000557,L000557, 273716
L000551,L000551, 251975
L000263,L000263, 279760
L000287,L000287, 249717
L000563,L000563, 271316
L000565,L000565, 269680
L000397,L000397, 249502
L000480,L000480, 260495
L000570,L000570, 258384
L000562,L000562, 245792
M000087,M000087, 239505
M000133,M000133, 234772
M001163,M001163, 240624
M000309,M000309, 231219
M001143,M001143, 228431
M000404,M000404, 222536
M000312,M000312, 224939
M001166,M001166, 226548
M001149,M001149, 220230
M001154,M001154, 211046
M000725,M000725, 198872
M001160,M001160, 186817
M000933,M000933, 195962
M001169,M001169, 194819
N000002,N000002, 184787
N000179,N000179, 178822
N000015,N000015, 181732
O000085,O000085, 167784
P000034,P000034, 178145
P000096,P000096, 171141
P000099,P000099, 173462
P000149,P000149, 114774
P000593,P000593, 170907
P000595,P000595, 163592
P000597,P000597, 155250
P000523,P000523, 154302
Q000023,Q000023, 147608
R000011,R000011, 152067
R000053,R000053, 128661
R000170,R000170, 132336
R000581,R000581, 136927
R000588,R000588, 85304
R000462,R000462, 120255
R000486,R000486, 120091
R000576,R000576, 116476
R000515,R000515, 100997
R000577,R000577, 113530
S001156,S001156, 102839
S000030,S000030, 102293
S001168,S001168, 107066
S001145,S001145, 101390
S001150,S001150, 104361
S001180,S001180, 95655
S001162,S001162, 94817
