Brown,Sherrod	B000944
Cantwell,Maria	C000127
Cardin,Benjamin	C000141
Carper,Thomas	C000174
Casey,Robert	C001070
Corker,Bob	C001071
Feinstein,Dianne	F000062
Hatch,Orrin	H000338
Klobuchar,Amy	K000367
McCaskill,Claire	M001170
Menéndez,Robert	M000639
Nelson,Bill	N000032
Sanders,Bernard	S000033
Stabenow,Debbie	S000770
Tester,Jon	T000464
Whitehouse,Sheldon	W000802
Barrasso,John	B001261
Wicker,Roger	W000437
Alexander,Lamar	A000360
Baucus,Max	B000243
Begich,Mark	B001265
Schatz,Brian	S001194
Chambliss,Saxby	C000286
Cochran,Thad	C000567
Collins,Susan	C001035
Cornyn,John	C001056
Durbin,Richard	D000563
Enzi,Michael	E000285
Graham,Lindsey	G000359
Hagan,Kay	H001049
Harkin,Thomas	H000206
Inhofe,James	I000024
Johanns,Mike	J000291
Johnson,Tim	J000177
Kerry,John	K000148
Landrieu,Mary	L000550
Lautenberg,Frank	L000123
Levin,Carl	L000261
McConnell,Mitch	M000355
Merkley,Jeff	M001176
Pryor,Mark	P000590
Reed,John	R000122
Risch,James	R000584
Roberts,Pat	R000307
Rockefeller,John	R000361
Sessions,Jefferson	S001141
Shaheen,Jeanne	S001181
Udall,Mark	U000038
Udall,Tom	U000039
Warner,Mark	W000805
Gillibrand,Kirsten	G000555
Franken,Al	F000457
Coons,Chris	C001088
Manchin,Joe	M001183
Aderholt,Robert	A000055
Alexander,Rodney	A000361
Amash,Justin	A000367
Andrews,Robert	A000210
Ayotte,Kelly	A000368
Bachmann,Michele	B001256
Bachus,Spencer	B000013
Baldwin,Tammy	B001230
Barletta,Lou	B001269
Barrow,John	B001252
Barton,Joe	B000213
Bass,Karen	B001270
Becerra,Xavier	B000287
Benishek,Dan	B001271
Bennet,Michael	B001267
Bilirakis,Gus	B001257
Bishop,Rob	B001250
Bishop,Sanford	B000490
Bishop,Timothy	B001242
Black,Diane	B001273
Blackburn,Marsha	B001243
Blumenauer,Earl	B000574
Blumenthal,Richard	B001277
Blunt,Roy	B000575
Boehner,John	B000589
Bonner,Jo	B001244
Boozman,John	B001236
Bordallo,Madeleine	B001245
Boustany,Charles	B001255
Boxer,Barbara	B000711
Brady,Kevin	B000755
Brady,Robert	B001227
Braley,Bruce	B001259
Brooks,Mo	B001274
Broun,Paul	B001262
Brown,Corrine	B000911
Buchanan,Vern	B001260
Bucshon,Larry	B001275
Burgess,Michael	B001248
Burr,Richard	B001135
Butterfield,George	B001251
Calvert,Ken	C000059
Camp,Dave	C000071
Campbell,John	C001064
Cantor,Eric	C001046
Capito,Shelley	C001047
Capps,Lois	C001036
Capuano,Michael	C001037
Carney,John	C001083
Carson,André	C001072
Carter,John	C001051
Cassidy,Bill	C001075
Castor,Kathy	C001066
Chabot,Steve	C000266
Chaffetz,Jason	C001076
Christensen,Donna	C000380
Chu,Judy	C001080
Cicilline,David	C001084
Clarke,Yvette	C001067
Clay,Wm.	C001049
Cleaver,Emanuel	C001061
Clyburn,James	C000537
Coats,Daniel	C000542
Coble,Howard	C000556
Coburn,Thomas	C000560
Coffman,Mike	C001077
Cohen,Steve	C001068
Cole,Tom	C001053
Conaway,K.	C001062
Connolly,Gerald	C001078
Conyers,John	C000714
Cooper,Jim	C000754
Costa,Jim	C001059
Courtney,Joe	C001069
Crapo,Michael	C000880
Crawford,Eric	C001087
Crenshaw,Ander	C001045
Crowley,Joseph	C001038
Cuellar,Henry	C001063
Culberson,John	C001048
Cummings,Elijah	C000984
Davis,Danny	D000096
Davis,Susan	D000598
DeFazio,Peter	D000191
DeGette,Diana	D000197
DeLauro,Rosa	D000216
Denham,Jeff	D000612
Dent,Charles	D000604
DesJarlais,Scott	D000616
Deutch,Theodore	D000610
Diaz-Balart,Mario	D000600
Dingell,John	D000355
Doggett,Lloyd	D000399
Donnelly,Joe	D000607
Doyle,Michael	D000482
Duffy,Sean	D000614
Duncan,Jeff	D000615
Duncan,John	D000533
Edwards,Donna	E000290
Ellison,Keith	E000288
Ellmers,Renee	E000291
Engel,Eliot	E000179
Eshoo,Anna	E000215
Faleomavaega,Eni	F000010
Farenthold,Blake	F000460
Farr,Sam	F000030
Fattah,Chaka	F000043
Fincher,Stephen	F000458
Fitzpatrick,Michael	F000451
Flake,Jeff	F000444
Fleischmann,Charles	F000459
Fleming,John	F000456
Flores,Bill	F000461
Forbes,J.	F000445
Fortenberry,Jeff	F000449
Foxx,Virginia	F000450
Franks,Trent	F000448
Frelinghuysen,Rodney	F000372
Fudge,Marcia	F000455
Garamendi,John	G000559
Gardner,Cory	G000562
Garrett,Scott	G000548
Gerlach,Jim	G000549
Gibbs,Bob	G000563
Gibson,Christopher	G000564
Gingrey,Phil	G000550
Gohmert,Louie	G000552
Goodlatte,Bob	G000289
Gosar,Paul	G000565
Gowdy,Trey	G000566
Granger,Kay	G000377
Grassley,Charles	G000386
Graves,Sam	G000546
Graves,Tom	G000560
Green,Al	G000553
Green,Gene	G000410
Griffin,Tim	G000567
Griffith,H.	G000568
Grijalva,Raúl	G000551
